,zipCode,Density,LandArea,Population,Wealthy
2930,94124,6895.74036511,4.93,33996.0,13046.1346629
2932,94110,29756.6523605,2.33,69333.0,27502.0329136
2935,94115,29483.0357143,1.12,33021.0,43106.9525756
2937,94102,46531.3432836,0.67,31176.0,15423.1812292
2939,94121,13377.5974026,3.08,41203.0,29058.4811543
2942,94112,23633.0357143,3.36,79407.0,18441.9432796
2943,94122,23738.559322,2.36,56023.0,26177.8981311
2944,94114,21765.034965,1.43,31124.0,55081.8068693
2945,94110,29756.6523605,2.33,69333.0,27502.0329136
2947,94115,29483.0357143,1.12,33021.0,43106.9525756
2948,94103,19977.9411765,1.36,27170.0,23481.6626426
2949,94134,16999.1666667,2.4,40798.0,16602.7983725
2950,94102,46531.3432836,0.67,31176.0,15423.1812292
2951,94117,23176.9230769,1.69,39169.0,38289.6465317
2952,94122,23738.559322,2.36,56023.0,26177.8981311
2953,94115,29483.0357143,1.12,33021.0,43106.9525756
2954,94112,23633.0357143,3.36,79407.0,18441.9432796
2955,94109,47045.3781513,1.19,55984.0,33224.3382216
2957,94110,29756.6523605,2.33,69333.0,27502.0329136
2963,94114,21765.034965,1.43,31124.0,55081.8068693
2964,94122,23738.559322,2.36,56023.0,26177.8981311
2965,94103,19977.9411765,1.36,27170.0,23481.6626426
2967,94110,29756.6523605,2.33,69333.0,27502.0329136
2968,94122,23738.559322,2.36,56023.0,26177.8981311
2969,94131,12923.5576923,2.08,26881.0,43765.7415647
2970,94112,23633.0357143,3.36,79407.0,18441.9432796
2972,94112,23633.0357143,3.36,79407.0,18441.9432796
2973,94103,19977.9411765,1.36,27170.0,23481.6626426
2975,94127,10897.740113,1.77,19289.0,43491.6667531
2979,94110,29756.6523605,2.33,69333.0,27502.0329136
2981,94124,6895.74036511,4.93,33996.0,13046.1346629
2982,94114,21765.034965,1.43,31124.0,55081.8068693
2983,94115,29483.0357143,1.12,33021.0,43106.9525756
2985,94115,29483.0357143,1.12,33021.0,43106.9525756
2986,94123,22635.2941176,1.02,23088.0,71547.6329695
2992,94124,6895.74036511,4.93,33996.0,13046.1346629
2995,94110,29756.6523605,2.33,69333.0,27502.0329136
2998,94131,12923.5576923,2.08,26881.0,43765.7415647
2999,94124,6895.74036511,4.93,33996.0,13046.1346629
3001,94122,23738.559322,2.36,56023.0,26177.8981311
3002,94121,13377.5974026,3.08,41203.0,29058.4811543
3003,94127,10897.740113,1.77,19289.0,43491.6667531
3004,94124,6895.74036511,4.93,33996.0,13046.1346629
3006,94122,23738.559322,2.36,56023.0,26177.8981311
3007,94132,9044.69453376,3.11,28129.0,19735.4509581
3011,94107,14859.7765363,1.79,26599.0,49267.0613557
3012,94117,23176.9230769,1.69,39169.0,38289.6465317
3014,94117,23176.9230769,1.69,39169.0,38289.6465317
3015,94124,6895.74036511,4.93,33996.0,13046.1346629
3017,94103,19977.9411765,1.36,27170.0,23481.6626426
3018,94122,23738.559322,2.36,56023.0,26177.8981311
3021,94111,10920.5882353,0.34,3713.0,70755.441422
3022,94102,46531.3432836,0.67,31176.0,15423.1812292
3023,94107,14859.7765363,1.79,26599.0,49267.0613557
3024,94122,23738.559322,2.36,56023.0,26177.8981311
3026,94133,34522.3684211,0.76,26237.0,28489.6979456
3028,94102,46531.3432836,0.67,31176.0,15423.1812292
3029,94114,21765.034965,1.43,31124.0,55081.8068693
3030,94118,19650.7692308,1.95,38319.0,41202.501083
3032,94110,29756.6523605,2.33,69333.0,27502.0329136
3035,94134,16999.1666667,2.4,40798.0,16602.7983725
3040,94107,14859.7765363,1.79,26599.0,49267.0613557
3042,94114,21765.034965,1.43,31124.0,55081.8068693
3043,94107,14859.7765363,1.79,26599.0,49267.0613557
